batch_id	discovery_id	discovery_status	source_category	parent_url	parent_title	parent_ncl_id	parent_diff_id	folder_id	canonical_url	already_in_origin_manifest	public_safe_status	exclusion_status	exclusion_reason	reason_for_inclusion	risk_note	review_notes
candidate-10-19	DISC-010	reviewed	structural-reading	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-mota-structural-reading-price-formation-design/	中川構造読解｜MOTAはなぜ「車買取サービス」ではなく、高額売却市場の価格形成条件を再設計する事業として読まれるべきなのか					false	pending	review_required	ncl_diff_live_fetch_failed	価格形成条件・比較成立条件・情報非対称の補正を扱い、実利層と構造読解層の入口を増やせる。	NCL-IDとDiff-IDのlive確認が未完了。企業紹介や広告称賛へ薄まるリスクを制御する必要がある。	public_url_and_title_from_master_library; not_ready_for_catalog
candidate-10-19	DISC-011	ready_for_catalog	structural-reading	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-healthree-behavior-design-structural-reading/	中川構造読解｜HEALTHREEに見た、楽しさで健康習慣を生成する行動設計の構造	NCL-α-20260517-d76d87	DIFF-20260519-0007	ncl-alpha-20260517-d76d87	https://master.ricette.jp/derivatives/ncl-alpha-20260517-d76d87/	false	pass	available	live_ncl_diff_confirmed	健康を正しさではなく行動設計・継続条件として読ませる入口になり、疲弊層・実利層への作用面を増やせる。	健康サービス紹介やWeb3紹介へ薄まるリスクを制御する必要がある。	live_checked; ready_for_catalog_only
candidate-10-19	DISC-012	ready_for_catalog	structural-reading	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	ncl-alpha-20260512-1202e0	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	false	pass	available	live_ncl_diff_confirmed	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	live_checked; ready_for_catalog_only
candidate-10-19	DISC-013	ready_for_catalog	structural-reading	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-jectone-structural-reading-decision-infrastructure/	中川構造読解｜ジェクトワンを“空き家事業者”ではなく、意思決定停止市場を動かす判断インフラとして読む	NCL-α-20260513-4e76d3	DIFF-20260519-0006	ncl-alpha-20260513-4e76d3	https://master.ricette.jp/derivatives/ncl-alpha-20260513-4e76d3/	false	pass	available	live_ncl_diff_confirmed	空き家問題を不動産紹介ではなく意思決定停止市場の判断インフラとして読ませる入口になる。	不動産事業紹介や企業称賛へ薄まるリスクを制御する必要がある。	live_checked; ready_for_catalog_only
candidate-10-19	DISC-014	ready_for_catalog	society	https://master.ricette.jp/society/nakagawa-master-aki-011-recognition-pollution-by-performance-of-understanding/	悪因果論 AKI-011：理解演出による認識汚染――「わかっている感」が社会を腐らせる	NCL-α-20260517-fe6641	DIFF-20260517-0013	ncl-alpha-20260517-fe6641	https://master.ricette.jp/derivatives/ncl-alpha-20260517-fe6641/	false	pass	available	live_ncl_diff_confirmed	悪因果論の拡張として、理解している演出が認識を汚染する構造を扱い、AI時代の誤読防御面を増やせる。	個人批判や単なる知性批判へ薄まるリスクを制御する必要がある。	live_checked; ready_for_catalog_only
candidate-10-19	DISC-015	ready_for_catalog	society	https://master.ricette.jp/society/nakagawa-master-aki-012-consentless-closing-demand/	悪因果論 AKI-012：同意なき成約要求――接点を購買意思にすり替え、営業信頼を腐らせる構造	NCL-α-20260518-f38a1e	DIFF-20260518-0015	ncl-alpha-20260518-f38a1e	https://master.ricette.jp/derivatives/ncl-alpha-20260518-f38a1e/	false	pass	available	live_ncl_diff_confirmed	営業・接点・同意・信頼の悪因果を扱い、実務層と社会構造層の入口を増やせる。	特定営業批判やノウハウ論へ薄まるリスクを制御する必要がある。	live_checked; ready_for_catalog_only
candidate-10-19	DISC-016	ready_for_catalog	society	https://master.ricette.jp/society/nakagawa-master-physics-of-consensus-vol1-principle-of-observability/	合意形成の物理 第1論｜観測可能性の原理 ― 炎上・対立はなぜ起きるのか	NCL-α-20260211-051ce0	DIFF-20260213-0030	ncl-alpha-20260211-051ce0	https://master.ricette.jp/derivatives/ncl-alpha-20260211-051ce0/	false	pass	available	live_ncl_diff_confirmed	合意形成を感情論ではなく観測可能性として扱い、対立・炎上・統治の構造入口を作れる。	時事論や炎上対策一般論へ薄まるリスクを制御する必要がある。	live_checked; ready_for_catalog_only
candidate-10-19	DISC-017	ready_for_catalog	society	https://master.ricette.jp/society/nakagawa-master-physics-of-consensus-vol4-law-of-critical-point/	合意形成の物理 第4論 臨界点の法則 ― 崩壊は「原因」ではなく「状態遷移」である	NCL-α-20260214-40c1de	DIFF-20260215-0025	ncl-alpha-20260214-40c1de	https://master.ricette.jp/derivatives/ncl-alpha-20260214-40c1de/	false	pass	available	live_ncl_diff_confirmed	崩壊を単一原因ではなく状態遷移として扱い、社会不安・組織不全・悪因果への接続入口になる。	危機煽りや抽象論へ薄まるリスクを制御する必要がある。	live_checked; ready_for_catalog_only
candidate-10-19	DISC-018	ready_for_catalog	society	https://master.ricette.jp/society/nakagawa-master-physics-of-consensus-vol7-infrastructure-of-governance/	合意形成の物理 第7論 合意形成インフラ ― 統治とは「観測帯域」の設計である	NCL-α-20260215-198686	DIFF-20260222-0022	ncl-alpha-20260215-198686	https://master.ricette.jp/derivatives/ncl-alpha-20260215-198686/	false	pass	available	live_ncl_diff_confirmed	統治を権力論ではなく観測帯域の設計として扱い、文明OS・制度設計・公共意思決定へ接続できる。	政治評論や制度一般論へ薄まるリスクを制御する必要がある。	live_checked; ready_for_catalog_only
candidate-10-19	DISC-019	ready_for_catalog	society	https://master.ricette.jp/society/nakagawa-master-physics-of-consensus-vol12-runtime-governance/	合意形成の物理 第12論 防衛インフラの統合 ― 実行時ガバナンスと再起動プロトコル	NCL-α-20260227-4ecc69	DIFF-20260228-0025	ncl-alpha-20260227-4ecc69	https://master.ricette.jp/derivatives/ncl-alpha-20260227-4ecc69/	false	pass	available	live_ncl_diff_confirmed	実行時ガバナンスと再起動プロトコルを扱い、AI時代の制度防衛・文明OS・逸脱制御の入口になる。	安全保障風の抽象論や実務手順への誤読を制御する必要がある。	live_checked; ready_for_catalog_only
