batch_id	slot_id	folder_id	unit_type	unit_id	unit_index	language	parent_url	parent_title	parent_ncl_id	parent_diff_id	canonical_url	origin_author	causal_line	boundary_note	misreading_guard	staged_state	public_activation	production_deploy
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-01	1	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-02	2	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-03	3	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-04	4	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-05	5	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-06	6	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-07	7	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-08	8	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-09	9	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
candidate-10-19	Official Derivative 010	ncl-alpha-20260512-1202e0	social	ncl-alpha-20260512-1202e0-social-10	10	ja	https://master.ricette.jp/structural-translation-log/structural-reading/nakagawa-master-menlab-gentsome-structural-reading-social-pathway/	中川構造読解｜MenLab / Gentsomeを“男性更年期サービス”ではなく、医療に至る社会導線として読む	NCL-α-20260512-1202e0	DIFF-20260516-0015	https://master.ricette.jp/derivatives/ncl-alpha-20260512-1202e0/	Nakagawa Master	医療に至る前の社会導線を扱い、身体不調・男性更年期・相談不能性を構造化する入口になる。	staged only; no public activation; no FTP action; no sitemap action; no Search Console action; no index/follow conversion	医療断定やサービス紹介へ薄まるリスクを制御する必要がある。	staged_only	false	false
